analysis_id,0266obm732dmh29
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
parameter_id,MGP_IMM_079_001
pvalue,0.3727943
