analysis_id,wad7mi3yq61w65e
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
gene_symbol,Tiprl
pvalue,0.952768
gene_accession_id,MGI:1915087
parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
