gene_symbol,Atg4c
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Zygomatic bone
gene_accession_id,MGI:2651854
parameter_id,IMPC_XRY_002_001
analysis_id,3u59114ps4jrp5c
pvalue,0.9815068
