analysis_id,3nwvgpr90o74v43
pvalue,0.9849857
parameter_name,Head coat/hair presence
gene_accession_id,MGI:2446274
parameter_id,MGP_CSD_015_001
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Late adult
