parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.8537007
gene_symbol,Etfdh
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
analysis_id,7mzs9zxg2nrhh43
