analysis_id,1tn91sl22g3ty4y
parameter_id,IMPC_ECH_018_001
gene_symbol,Gja10
parameter_name,Respiration Rate
pvalue,0.1547677
gene_accession_id,MGI:1339969
mouse_strain,C57BL
mouse_life_stage,Early adult
