analysis_id,5g17e9983s07rk9
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:2446186
mouse_strain,C57BL
pvalue,0.7573238
gene_symbol,Lpgat1
parameter_id,MGP_MLN_066_001
mouse_life_stage,Middle aged adult
