analysis_id,2jtn19b1ox18554
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
pvalue,0.9152499
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1913284
