analysis_id,h4a48qx512nyfjo
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_name,Tibia length
mouse_life_stage,E12.5
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:2444554
pvalue,0.2488836
