analysis_id,7ajud46glc4woz0
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.08183594
gene_symbol,Secisbp2l
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
