analysis_id,4hm754tv8ch53u4
gene_accession_id,MGI:1917810
pvalue,0.4421773
parameter_id,IMPC_ABR_006_001
mouse_life_stage,Early adult
parameter_name,12kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_symbol,Wars2
