parameter_name,Retina (combined)
pvalue,0.359103
analysis_id,49z629q4fd8k88u
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
