parameter_id,HRWLLA_DXA_007_001
gene_symbol,Kdm4c
parameter_name,BMC/Body weight
pvalue,0.9542104
mouse_strain,C57BL
gene_accession_id,MGI:1924054
analysis_id,8ws5194a14qx6fv
mouse_life_stage,Early adult
