parameter_id,HRWLLA_GRS_010_001
gene_accession_id,MGI:1919949
analysis_id,996gqbh91j7w1c5
pvalue,0.8566223
mouse_strain,C54BL
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
gene_symbol,Lime1
