parameter_id,UCD_OWT_008_001
analysis_id,5k9264x39j89p37
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_name,Liver weight
pvalue,0.08304049
mouse_strain,129SV
gene_symbol,Ddx27
