parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
pvalue,0.09621948
parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
analysis_id,1h6q2ema1y1rmse
gene_symbol,Gpbp1l1
