parameter_name,Eosinophil number
pvalue,0.2236583
gene_symbol,Mapkap1
mouse_life_stage,E12.5
parameter_id,MGP_PBI_040_001
analysis_id,chdq234ogw3dp3k
gene_accession_id,MGI:2444554
mouse_strain,C57BL
