analysis_id,92r0s7tk4mut58r
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
gene_symbol,Dnajc8
pvalue,0.5342497
parameter_name,Monocyte percentage
gene_accession_id,MGI:1915848
mouse_strain,C57BL
