Analysis_id,764556943rw23sd
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
Parameter_id,ESLIM_007_001_003
Pvalue,0.3927346
Mouse_strain,C57BL
Parameter_name,Whole arena resting time
gene_symbol,AU040320
