gene_symbol,Cisd2
gene_accession_id,MGI:1914256
pvalue,0.2835835
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Startle response
analysis_id,8m1g0wyvf9dxs07
parameter_id,MGP_CSD_008_001
