parameter_name,Others
gene_symbol,Ahctf1
analysis_id,1z91h0syhy70763
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
pvalue,0.5409729
mouse_strain,C57BL
