Analysis_id,n70b0532380x05q
gene_accession_id,MGI:2446274
Parameter_id,MGP_MLN_033_001
pvalue,0.6889951
mouse_strain,C57BL
Gene_symbol,Frmpd1
mouse_life_stage,Early adult
Parameter_name,Resting NK cells - % of NK cells
