parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
parameter_name,Center average speed
pvalue,0.5346509
analysis_id,e15vzl9q0ve3739
gene_symbol,Tox
mouse_strain,C57BL
gene_accession_id,MGI:2181659
