parameter_name,Whole arena average speed
pvalue,0.1030732
mouse_strain,C57BL
analysis_id,5yaat1o517l2036
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_id,JAX_OFD_009_001
