parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Lpgat1
pvalue,0.5939347
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
analysis_id,627j8zi8tko7o68
