analysis_id,15coq09c8u1uulz
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1917604
parameter_id,MGP_IMM_094_001
pvalue,0.9911784
