parameter_name,B cell percentage
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
parameter_id,MGP_PBI_014_001
analysis_id,2yod17z4j75ynmw
mouse_strain,C57BL
pvalue,0.5828751
