gene_symbol,Inpp1
pvalue,0.9990073
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
analysis_id,8r67210nxl3a09x
mouse_strain,C57BL
parameter_name,Periphery permanence time
