analysis_id,g9ck5bs47h9yzlu
mouse_life_stage,E12.5
gene_symbol,Bmi1
parameter_id,IMPC_ECH_005_001
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_name,Fractional Shortening
pvalue,0.1858096
