gene_symbol,Tnfsf10
mouse_strain,C57BL
pvalue,0.1057864
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
parameter_id,MGP_MLN_001_001
analysis_id,72199i156427hz6
parameter_name,Total T cells - % of CD45+
