parameter_name,Chloride
mouse_strain,C57BL
gene_accession_id,MGI:1916222
pvalue,0.7918737
mouse_life_stage,Early adult
analysis_id,rvc73ki88e3k9lh
gene_symbol,Tatdn3
parameter_id,IMPC_CBC_003_001
