parameter_name,Neutrophil cell count
gene_symbol,Mov10
mouse_strain,C57BL
analysis_id,3r8jt784n12241p
mouse_life_stage,Early adult
pvalue,0.7230495
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:97054
