parameter_name,Vocalization
pvalue,0.677431
mouse_strain,C57BL
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Late adult
analysis_id,rlx3w1o47gzmh32
