parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
pvalue,0.6341513
analysis_id,px3137gwq3t3125
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
