analysis_id,t69y5e751w22f63
mouse_strain,C57BL
gene_symbol,Atf3
parameter_id,IMPC_LDT_006_001
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
pvalue,0.9503448
gene_accession_id,MGI:109384
