gene_symbol,Ivd
pvalue,0.9533902
gene_accession_id,MGI:1929242
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
mouse_life_stage,Early adult
analysis_id,n3wr2q0r90t2n0g
