pvalue,0.1410818
parameter_name,Activity (body position)
mouse_life_stage,Middle aged adult
parameter_id,IMPC_CSD_029_001
analysis_id,0981poon4p31e1k
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
