analysis_id,406522kj244ux8v
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_name,PQ
mouse_strain,B6J
pvalue,0.6624322
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
