gene_symbol,Ubxn11
mouse_strain,C57BL
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
pvalue,0.2503928
analysis_id,4eh4w9ion4157x3
