analysis_id,7o844h0m86xfy96
pvalue,0.1435668
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_CBC_015_001
gene_symbol,Frmpd1
parameter_name,Total cholesterol
gene_accession_id,MGI:2446274
