analysis_id,cgvcm80120w78lc
parameter_id,IMPC_IMM_067_001
mouse_strain,129SV
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
pvalue,0.7126653
parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Bpifa3
