parameter_name,Vocalization
gene_accession_id,MGI:1915472
pvalue,0.3906974
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
gene_symbol,Tubb4b
analysis_id,198021iiu12ao4w
