analysis_id,hz3702g02u16xk7
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
pvalue,0.4531888
gene_symbol,Col6a3
parameter_name,Effector NK cells - % of NK cells
mouse_strain,C57BL
gene_accession_id,MGI:88461
