gene_symbol,Tbl1xr1
parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
analysis_id,65mt3p23ts3629p
gene_accession_id,MGI:2441730
pvalue,0.3274413
mouse_strain,C57BL
