gene_symbol,Car13
mouse_strain,C57BL
gene_accession_id,MGI:1931322
analysis_id,fft4119j6624aqk
parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
pvalue,0.4535856
mouse_life_stage,Early adult
