analysis_id,o2ql8d6o02d4u45
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
parameter_id,IMPC_FEA_106_001
gene_symbol,AU040320
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.7310514
mouse_strain,C57BL
