parameter_name,Embryo turning
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,yi0ee43x39b4uv3
pvalue,0.6578807
parameter_id,IMPC_GEL_011_001
gene_symbol,Zyg11b
