gene_symbol,Trp53rkb
analysis_id,909ueph15h23300
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8890198
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1914050
