parameter_name,Whole arena resting time
pvalue,0.5159997
gene_symbol,Tnfsf8
parameter_id,IMPC_OFD_007_001
gene_accession_id,MGI:88328
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,d7939t68w0pq9hl
