parameter_name,Thyroxine
analysis_id,184phq61u3a83rm
pvalue,0.33121
gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,IMPC_CBC_053_001
