analysis_id,x002r8051y2005c
parameter_id,IMPC_GEP_076_001
pvalue,0.358465
gene_symbol,Kifap3
gene_accession_id,MGI:107566
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Cleft palate
