parameter_id,MGP_BMI_014_001
gene_symbol,Ints7
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
analysis_id,qwlyq11n7267268
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.5304336
