parameter_name,Eye
gene_symbol,Extl1
pvalue,0.141828
analysis_id,firbpuq495s9wjg
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1888742
