parameter_name,Prepulse inhibition - PP4
pvalue,0.9326997
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
gene_accession_id,MGI:1914561
analysis_id,sg630l686btm542
gene_symbol,Nanp
