analysis_id,bh6e134kam9p875
pvalue,0.7471623
gene_accession_id,MGI:2385884
parameter_name,Latency to first transition into dark
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_LDT_006_001
gene_symbol,Ddx27
