parameter_name,Neural tube morphology
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
analysis_id,09884x7ha81841p
gene_symbol,Snap23
pvalue,0.09612252
