gene_symbol,Lpgat1
mouse_life_stage,Early adult
parameter_name,Transitional B Cells (CD21/35 low)
pvalue,0.4063701
gene_accession_id,MGI:2446186
parameter_id,IMPC_IMM_069_001
analysis_id,95o198tb0452108
mouse_strain,C57BL
