parameter_id,IMPC_HEM_003_001
parameter_name,Hemoglobin
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Mapkap1
analysis_id,i6cpqc4q424695e
pvalue,0.1283115
