gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
pvalue,0.6199974
analysis_id,9c618zxk86aqq40
