gene_symbol,Ilkap
mouse_strain,C57BL
analysis_id,4n88f7688lp8913
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_106_001
pvalue,0.370816
gene_accession_id,MGI:1914694
