parameter_name,Delayed embryonic development
gene_symbol,Fgb
analysis_id,33s9r4lu4j5044e
parameter_id,IMPC_GEL_063_001
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.4494853
gene_accession_id,MGI:99501
