parameter_name,Global prepulse inhibition
gene_symbol,Fgb
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:99501
analysis_id,08av0q0722qms59
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4429605
