analysis_id,8lrffkws3g79r33
gene_symbol,Maco1
pvalue,0.1340484
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1913396
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
