parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
analysis_id,uh7ieh576aj1qpa
parameter_id,HMGULA_CBC_016_001
pvalue,1.17925
mouse_strain,C57BL
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
